milig,raw
1008.9,9.89
1007.4,9.89
1007,9.89
1007.7,9.89
1008.4,9.9
1009.3,9.9
1009.5,9.89
1009.7,9.89
1010.2,9.88
1011.8,9.87
1010.1,9.87
1008.8,9.88
1009.9,9.88
1009.5,9.89
1010.5,9.9
1011,9.9
1012.7,9.9
1012.8,9.9
1012.5,9.89
1012.4,9.89
1011.5,9.89
1011.2,9.9
1009.9,9.91
1009.5,9.92
1009,9.93
1010.1,9.94
1011.3,9.94
1011.3,9.93
1011.6,9.92
1010.8,9.92
1009.8,9.91
1007.7,9.91
1007.1,9.92
1007.6,9.93
1006.9,9.93
1007,9.93
1008.1,9.92
1009.6,9.91
1009.8,9.9
1009.1,9.89
1008.9,9.88
1007.6,9.88
1006.8,9.89
1006.4,9.9
1006.4,9.91
1007.7,9.91
1009.7,9.91
1010.8,9.9
1010.9,9.89
1010.8,9.89
1010.9,9.89
1009.8,9.9
1009.4,9.91
1007.5,9.92
1008.3,9.92
1009,9.92
1009.6,9.92
1010,9.91
1010.1,9.9
1010.2,9.89
1009.5,9.89
1008.5,9.9
1008,9.91
1007.3,9.92
1007.8,9.93
1008.2,9.93
1009.1,9.92
1009.3,9.92
1011,9.91
1010.5,9.9
1010.5,9.9
1009.6,9.9
1009.1,9.91
1008.7,9.92
1007.9,9.93
1007.4,9.92
1008.5,9.92
1009.9,9.91
1010.5,9.9
1010.4,9.88
1009.5,9.88
1007.9,9.89
1007.5,9.89
1007.6,9.9
1008.1,9.91
1008.4,9.91
1009.9,9.9
1011,9.89
1012.8,9.88
1013.1,9.88
1013.7,9.88
1013.3,9.89
1011.6,9.9
1010.4,9.9
1010.5,9.91
1012.4,9.92
1014,9.91
1015.1,9.9
1015.5,9.89
1014.5,9.88
1013.4,9.88
1012.1,9.89
1010.4,9.9
1009,9.91
1010.5,9.91
1011.1,9.91
1010.6,9.91
1011.4,9.9
1013,9.89
1012.3,9.89
1011.1,9.88
1009.6,9.89
1007.8,9.9
1007.1,9.91
1008,9.91
1008.8,9.92
1010.9,9.91
1012.8,9.9
1013.6,9.89
1012.9,9.89
1011.2,9.89
1010.8,9.89
1009.8,9.9
1008.8,9.91
1009.1,9.92
1009.2,9.92
1010.3,9.91
1011.6,9.91
1011.5,9.9
1011.3,9.89
1011.8,9.89
1009.4,9.89
1007.4,9.9
1007,9.91
1006.3,9.91
1008.4,9.91
1009.8,9.9
1010.4,9.9
1011.1,9.89
1011.6,9.87
1010.8,9.87
1010.1,9.88
1008.9,9.89
1008.2,9.89
1008.2,9.9
1008.3,9.9
1010,9.89
1011.4,9.89
1012,9.88
1012.7,9.88
1011.4,9.88
1010.7,9.89
1010.2,9.89
1009.4,9.9
1008.9,9.91
1009.3,9.91
1010.7,9.91
1011.6,9.9
1012.8,9.89
1013.2,9.89
